"Name","Description","HasEvenSpaceCharacters","isRTL","UsedSystemFont","HelpshiftSDKLanguage","HelpshiftSDKLanguageAndroid","SortOrder","TestLanguage","TestExcludes","BoomboxEnabled","BoomboxUrl","BoomboxStagingUrl","HelpshiftLanguageTagOverride"
"String","String","boolean","boolean","String","String","String","int","boolean","String","boolean","String","String","String"
"EN",,,,,"en",,1,,,"true","https://inbox.boombeach.com","https://inbox-staging.boombeach.com","EN"
"FR",,,,,"fr",,2,,,,"https://inbox.boombeach.com/fr","https://inbox-staging.boombeach.com/fr","FR"
"DE",,,,,"de",,3,,,,"https://inbox.boombeach.com/de","https://inbox-staging.boombeach.com/de","DE"
"ES",,,,,"es",,4,,,,"https://inbox.boombeach.com/es","https://inbox-staging.boombeach.com/es","ES"
"IT",,,,,"it",,5,,,,"https://inbox.boombeach.com/it","https://inbox-staging.boombeach.com/it","IT"
"NL",,,,,"nl",,6,,,,"https://inbox.boombeach.com/nl","https://inbox-staging.boombeach.com/nl","NL"
"NO",,,,,,,7,,,,"https://inbox.boombeach.com/no","https://inbox-staging.boombeach.com/no","NO"
"PT",,,,,"pt","pt_Br",8,,,,"https://inbox.boombeach.com/pt","https://inbox-staging.boombeach.com/pt","PT"
"TR",,,,,"tr",,9,,,,"https://inbox.boombeach.com/tr","https://inbox-staging.boombeach.com/tr","TR"
"CN",,"TRUE",,"STHeitiSC-Medium","zh-Hans","zh_CN",11,,,,"https://bb-inbox.kunlun-cdn.com","https://test-bb-inbox.kunlun-cdn.com","ZH-HANS"
"JP",,"TRUE",,"HiraKakuProN-W6","ja",,13,,,,"https://inbox.boombeach.com/jp","https://inbox-staging.boombeach.com/jp","JP"
"KR",,"TRUE",,,"ko",,14,,,,"https://inbox.boombeach.com/ko","https://inbox-staging.boombeach.com/ko","KR"
"RU",,,,,"ru",,10,,,,"https://inbox.boombeach.com/ru","https://inbox-staging.boombeach.com/ru","RU"
"TEXT","Longest text",,,,"zh-hans","zh_CN",1000,"TRUE","AR","true","http://supercell-inbox-reef-testing.s3-website-eu-west-1.amazonaws.com","https://supercell-inbox-reef-testing.s3-website-eu-west-1.amazonaws.com","EN"
,,,,,,,,,"FA",,,,
"WORD","Longest word",,,,"cn","zh_TW",1001,"TRUE","AR",,,,"EN"
,,,,,,,,,"FA",,,,
"DOUBLE","Double String",,,,"zh-Hans","zh_CN",1002,"TRUE",,,,,"EN"
"EMPTY","Empty texts",,,,"ko","ko",1003,"TRUE",,,,,"EN"
"CNT",,"TRUE",,"STHeitiSC-Medium","zh-Hant","zh_TW",12,,,,"https://inbox.boombeach.com/zh","https://inbox-staging.boombeach.com/zh","ZH-HANT"
"AR",,,"TRUE",,"ar",,15,,,,"https://inbox.boombeach.com/ar","https://inbox-staging.boombeach.com/ar","AR"
"FA",,,"TRUE",,,,16,,,,,,
"ID",,,,,"id",,17,,,,"https://inbox.boombeach.com/id","https://inbox-staging.boombeach.com/id",
"MS",,,,,"ms",,18,,,,"https://inbox.boombeach.com/ms","https://inbox-staging.boombeach.com/ms",
"TL",,,,,,,19,"TRUE",,,,,
"VI",,,,,,,20,"TRUE",,,"https://inbox.boombeach.com/vi","https://inbox-staging.boombeach.com/vi",
"DOUBLEDOUBLE","Double Double String",,,,"zh-Hans","zh_CN",1004,"TRUE",,,,,
"QUADRUPLE","Quad String",,,,"zh-Hans","zh_CN",1005,"TRUE",,,,,
